landmark,camera_abbrev,direction,lat,long,x_pixel,y_pixel,x_res,y_res,intersection,distance,tile
white building - southwest,om,south,32.59389193,-116.8459189,2900,1715,3072,2048,0,0.09675751101703162,35
white building - southwest,om,west,32.59389193,-116.8459189,423,1685,3072,2048,0,0.09675751101703162,28
white building - south,om,south,32.59429754,-116.8447736,1780,1930,3072,2048,0,0.051655674522883624,41
communication tower building - east,om,north,32.59548658,-116.8441407,2545,1725,3072,2048,0,0.08055972367780935,34
large bush,om,east,32.59905304,-116.8392543,318,1420,3072,2048,0,0.4771325295276625,18
building 33,om,north,32.600277,-116.8414586,2374,1311,3072,2048,0,0.6132308599297044,24
otay resevoir - north tip,om,west,32.62868,-116.926238,2315,1153,3072,2048,1,3.771504723803466,24
otay resevoir - north tip,sm,south,32.62868,-116.926238,1410,1250,3072,2048,1,7.584061559278721,22
john nichols field airport,om,north,32.63507912,-116.8911199,335,1280,3072,2048,0,4.483055385627153,18
microwave tower - south,ws,south,32.646591,-116.317577,735,1580,3072,2048,0,0.07505667915804029,29
storage silo,ws,west,32.64693624,-116.3198741,1110,1430,3072,2048,0,0.03666768965790572,21
microwave tower - east,ws,east,32.646974,-116.317605,2600,1950,3072,2048,0,0.03246896342854834,43
building - solar panels,ws,west,32.64741564,-116.3205118,1583,1366,3072,2048,0,0.01663923180561874,22
north building,ws,west,32.64840052,-116.319985,2470,1412,3072,2048,0,0.1261530424269202,25
building off road,ws,north,32.65099191,-116.3168757,1947,1192,3072,2048,0,0.4143028613933111,23
crossroads point,ws,north,32.65581858,-116.3205807,1083,1141,3072,2048,0,0.9510048193040485,21
lake morena - southeast tip,pi,south,32.682703,-116.531203,245,1225,3072,2048,0,5.761330677025925,18
lake morena - southeast tip,pi,east,32.682703,-116.531203,2845,1205,3072,2048,0,5.761330677025925,26
news communication tower - west,sm,west,32.69646551,-116.936759,440,1710,3072,2048,0,0.04664633615779524,28
sweetwater resevoir,sm,west,32.697116,-116.987745,1600,1300,3072,2048,0,0.025684951583441636,22
microwave tower,sm,west,32.69732847,-116.9373284,2300,1815,3072,2048,0,0.04931057028036986,42
news communication tower san miguel - north,sm,north,32.698001,-116.935086,2735,1495,3072,2048,0,0.12409259758948686,35
news communication tower san miguel - north,sm,east,32.698001,-116.935086,210,1520,3072,2048,0,0.12409259758948686,27
south building - east corner,lp,south,32.700898,-116.765556,2970,1635,3072,2048,0,0.06887979245012726,35
comms building,lp,west,32.70091925,-116.7656275,589,1633,3072,2048,0,0.06651689699572433,28
communication tower - east,lp,east,32.701979,-116.763644,640,1690,3072,2048,0,0.05132208928227868,28
communication tower - north,lp,north,32.702471,-116.764071,2200,1570,3072,2048,0,0.10603006875705123,33
end of destiny mountain ct,sm,north,32.71389188,-116.9634166,118,1367,3072,2048,0,1.891080274170715,18
spring valley water treatment - center,sm,north,32.72810227,-116.9472257,1133,1365,3072,2048,0,3.4712057303714134,21
outlet on road,pi,west,32.7336111,-116.57993,857,1592,3072,2048,0,0.10060041298880062,29
tree in path,pi,north,32.7407794,-116.5771568,1741,1331,3072,2048,0,0.696479280649619,23
mt laguna water tower,ml,south,32.87597465,-116.4149882,765,637,2048,1536,1,1.8148538227694249,12
microwave tower,ml,east,32.89201797,-116.4195892,1558,933,2048,1536,0,0.03091556815824919,24
left corner of building,ml,east,32.8922397,-116.4199911,1288,973,2048,1536,0,0.0062602830177106,23
road bend,cp,south,32.9180867,-116.6312484,2842,1402,3072,2048,0,3.155310514984148,26
road fork,cp,west,32.94826555,-116.6380082,1665,1579,3072,2048,0,0.20042913212123756,31
road turn near paso picacho campground,cp,east,32.9565083,-116.5836456,663,1427,3072,2048,0,1.116982379715917,19
small mountain,ml,north,32.96181258,-116.4052869,1421,988,2048,1536,0,7.729901690660177,24
mt carmel high school,bl,south,32.96733,-117.12188,1840,875,2048,1536,0,1.5664273342662955,26
end of oviedo st,bl,west,32.97368495,-117.1158788,1355,960,2048,1536,0,0.8597881591359406,23
butterfield ranch east,ml,north,33.00424518,-116.3317522,1934,862,2048,1536,0,12.448198052177789,26
microwave tower - black mountain east,bl,east,32.981623,-117.115867,750,1200,2048,1536,0,0.022883947511865333,30
lake cuyamaca - east,cp,north,32.986019,-116.579601,2190,1250,3072,2048,0,4.398427033963468,24
moutain road cross,ml,north,32.98048595,-116.4390748,964,934,2048,1536,0,9.806288566041404,22
cylinder building,wc,east,33.00557551,-116.9626569,1988,1654,3072,2048,0,0.35164776953357946,32
del norte high school,bl,north,33.01449754,-117.1214591,881,357,2048,1536,0,3.678371060452446,3
mt woodson basin - center,wc,north,33.015435,-116.966807,2100,1800,3072,2048,0,0.7446790120777133,42
white building,wc,north,33.02181953,-116.9839834,213,1493,3072,2048,0,1.4546073376818478,27
lake ramona southwest tip,wc,west,33.02398978,-116.9973599,2274,1221,3072,2048,0,1.6959284605586769,24
16615 highland valley rd,wc,north,33.03039957,-116.9791697,804,1409,3072,2048,0,2.408665573888705,20
Ramona Airport South Tip,wc,east,33.04017329,-116.9233331,198,1252,3072,2048,0,3.4954551534686265,18
nucal egg ranch,mg,south,33.07252272,-116.776892,1731,1117,3072,2048,1,12.935870763361892,14
nucal egg ranch,bm,south,33.07252272,-116.776892,1067,1127,3072,2048,1,9.718958173927405,12
lake southerland - channel opening,bm,south,33.105561,-116.780867,900,1200,3072,2048,0,6.045263978549655,20
point in lake Sutherland,bm,east,33.11648335,-116.7761501,3018,1230,3072,2048,0,4.830752393960343,26
tree on road - off mesa grande rd,mg,south,33.15919026,-116.7198434,138,1160,3072,2048,0,3.298866699418733,18
tree on road - off mesa grande rd,mg,east,33.15919026,-116.7198434,2674,1050,3072,2048,0,3.298866699418733,16
tiny trees,bm,west,33.16113026,-116.8121351,2043,1391,3072,2048,0,0.13376434566872716,24
crossroads,mg,south,33.16805606,-116.762014,1628,1270,3072,2048,0,2.3130333570852004,22
sharp turn in trail,bm,north,33.16864443,-116.7972078,2808,1414,3072,2048,0,0.9693030817067473,26
sharp turn in trail,bm,east,33.16864443,-116.7972078,321,1410,3072,2048,0,0.9693030817067473,18
small crossroads,mg,south,33.17237393,-116.7658628,1978,1330,3072,2048,0,1.8329074559966232,23
tree point,mg,east,33.1757671,-116.7300817,2290,1040,3072,2048,0,1.4556036456006902,15
small tree in loop,mg,west,33.17841247,-116.7801452,555,1382,3072,2048,0,1.1614515162038355,19
tree near southwest road,mg,west,33.19773819,-116.7830293,2242,1290,3072,2048,0,0.9874734697678037,24
path intersection,mg,north,33.20334039,-116.7686941,817,1207,3072,2048,0,1.6104105482517288,20
Harrah's Hotel & Casino,bh,south,33.26777,-116.95545,2175,1300,3072,2048,0,7.434251763533359,24
love valley clearing,mg,north,33.30066204,-116.760773,1690,1080,3072,2048,0,12.432099228461244,13
mt palmar south side area east end,hp,south,33.31316652,-116.818171,656,751,2048,1536,0,5.543239318359563,11
mt palmar south side area west end,hp,south,33.33357673,-116.8565688,1707,763,2048,1536,0,3.273724379826911,16
bh unknown,bh,west,33.334803,-116.919959,2055,1835,3072,2048,0,0.01948804976179964,42
Palomar Observatory right,hp,west,33.34838843,-116.8596944,161,693,2048,1536,1,1.6267362099318863,9
Palomar Observatory right,bh,east,33.34838843,-116.8596944,1044,1011,3072,2048,1,1.530121028618456,12
doane valley natural preserve clearning northeast,bh,north,33.35444233,-116.9107217,2110,1250,3072,2048,0,2.203284924843848,24
Palomar Observatory left,bh,east,33.35626174,-116.8648115,753,1005,3072,2048,0,2.405594365771885,11
Palomar Observatory,hp,west,33.35629,-116.8648,620,665,2048,1536,0,0.7481204998105437,11
right bush,hp,east,33.36219066,-116.8348973,1825,1125,2048,1536,0,0.09199613767949616,35
left bush,hp,north,33.36347435,-116.8364847,412,1203,2048,1536,0,0.05074387486475855,28
red mountain water resevoir - south tip,rm,south,33.39434215,-117.1855564,630,1420,3072,2048,0,0.718081148885934,19
red mountain resevoir - north tip,rm,east,33.39826,-117.18636,2480,1665,3072,2048,0,0.2824355037930598,34
red mountain water storage large,rm,east,33.40000899,-117.1864264,1890,1680,3072,2048,0,0.08795642041470925,32
microwave tower,rm,south,33.400219,-117.190897,2420,1730,3072,2048,0,0.0646043416150771,34
red mountain water storage small,rm,west,33.400324,-117.192417,1100,1790,3072,2048,0,0.052928858191074624,39
red mountain north access road intersection,rm,north,33.40370301,-117.1877489,2690,1422,3072,2048,0,0.3228004298692029,25
target - san clemente,sclm,north,33.46403242,-117.6055052,642,1183,3072,2048,1,3.626504115277415,19
target - san clemente,sjh,south,33.46403242,-117.6055052,1681,1152,3072,2048,1,4.326559429707026,22
E in hill,sjh,south,33.47968683,-117.6093276,1971,1153,3072,2048,0,2.585866053748273,23
microwave tower east - san juan hills,sjh,east,33.50264178,-117.6017928,2005,1215,3072,2048,0,0.0333885467416981,23
Rancho Mission Viejo,sjh,west,33.51973819,-117.6310328,2553,1189,3072,2048,0,1.8676481349133376,25
corner of paths,signal,south,33.60116173,-117.8154609,2800,1180,3072,2048,0,0.45284307620157677,26
handhole,signal,south,33.60500187,-117.8111833,2873,1433,3072,2048,0,0.02583840079341259,26
microwave tower west - signal peak,signal,west,33.60554784,-117.8113901,2623,1427,3072,2048,0,0.03487077716161129,25
lake mission viejo - center,stgo,south,33.6310585,-117.6436993,3005,1200,3072,2048,0,8.908279321977258,26
lake mission viejo - center,stgo,west,33.6310585,-117.6436993,630,1270,3072,2048,0,8.908279321977258,19
office of technology alliances,signal,north,33.65064145,-117.8380223,795,1161,3072,2048,0,5.049058359131611,20
southeast corner of tustin blimp hangar #2,signal,north,33.70234758,-117.822333,1412,1105,3072,2048,0,10.798525633046461,13
communication tower - south far,stgo,south,33.70971889,-117.5349005,2345,1311,3072,2048,0,0.16163094472643247,24
communication tower - southeast,stgo,east,33.71083777,-117.5334783,2555,1733,3072,2048,0,0.03721699335504496,34
communication tower - east far,stgo,east,33.71154823,-117.5310809,1415,1290,3072,2048,0,0.04178266334765313,22
communication tower - east near,stgo,east,33.7115553,-117.5331211,915,1400,3072,2048,0,0.042568812565268226,20
communications tower - east,stgo,north,33.71184523,-117.5336569,2685,1605,3072,2048,0,0.07480760217744549,34
West side of Frank R. Bowerman landfill,signal,north,33.72720048,-117.7086035,2386,1068,3072,2048,0,13.562045842582233,16
lake matthews - southwest tip,stgo,north,33.82992523,-117.4569443,2620,1210,3072,2048,0,13.204722676153274,25
69bravo building - lower,69bravo,east,34.07293223,-118.6257264,2565,1655,3072,2048,0,0.18901273323327974,34
69bravo building - lower,69bravo,south,34.07293223,-118.6257264,210,1640,3072,2048,0,0.18901273323327974,27
cylinder building - middle,69bravo,east,34.07434594,-118.6258528,1600,1470,3072,2048,0,0.03181513635625532,31
cylinder building - close,69bravo,east,34.07437057,-118.6266663,1741,1613,3072,2048,0,0.029076401530535038,32
cylinder building - far,69bravo,east,34.07462076,-118.6251,1371,1433,3072,2048,0,0.0012565044065144112,22
69braco helipad,69bravo,north,34.07506251,-118.6275065,2385,1343,3072,2048,0,0.047863922287064285,25
blue building,69bravo,west,34.07545211,-118.6287551,2700,1210,3072,2048,0,0.09118552554588712,25
69bravo circle building,69bravo,north,34.07823337,-118.6289516,933,1061,3072,2048,0,0.40044795439547004,11
kwhy tower,wilson,south,34.21279121,-118.0624802,1943,1290,3072,2048,0,1.3019053578986728,23
tower south,wilson,west,34.2238728,-118.0631837,1203,1233,3072,2048,0,0.06968706873309856,21
observatory tower,wilson,south,34.224021,-118.0585861,1135,1995,3072,2048,0,0.0532079578429702,39
small observatory building,wilson,east,34.22426202,-118.0578438,2160,1850,3072,2048,0,0.026407719604988132,42
center tower,wilson,west,34.22545982,-118.0653675,1790,1195,3072,2048,0,0.10678174749827128,23
chara array,wilson,north,34.22587356,-118.057203,2805,1480,3072,2048,0,0.15278759999410502,35
chara array,wilson,east,34.22587356,-118.057203,190,1375,3072,2048,0,0.15278759999410502,18
grey building,wilson,north,34.22634243,-118.0589444,1360,1520,3072,2048,0,0.2049236372641671,30
red white tower - north,wilson,west,34.23191981,-118.0713233,2462,1100,3072,2048,0,0.8251008538570157,16
santa ynez reservoir,dwpgm,south,34.07207823,-118.5679001,2738,1321,3072,2048,1,1.5930630037844005,26
santa ynez reservoir,dwpgm,west,34.07207823,-118.5679001,220,1333,3072,2048,1,1.5930630037844005,18
santa monica pier,dwpgm,south,34.00756607,-118.4997572,565,1145,3072,2048,1,8.766497811022692,19
santa monica pier,69bravo,east,34.00756607,-118.4997572,2266,1173,3072,2048,1,7.4574081389908935,24
palomar medical center,ch,east,33.12227141,-117.1214827,819,1204,3072,2048,1,1.2947755293542569,20
palomar medical center,rdd,north,33.12227141,-117.1214827,1516,1064,3072,2048,1,3.162084519273097,13
veritiv distribution warehouse,ch,east,33.10810753,-117.1155551,1665,1208,3072,2048,1,0.28017824366473054,22
veritiv distribution warehouse,rdd,north,33.10810753,-117.1155551,2078,1140,3072,2048,1,1.5871307462541098,24
mt laguna water tower,mlo,north,32.87597465,-116.4149882,1966,1055,3072,2048,1,4.036454801230691,14
left observatory,mlo,north,32.84083042,-116.4270603,880,1290,3072,2048,0,0.12858932663496353,20
tree cluster end,mg,west,33.1820958,-116.7813144,880,1388,3072,2048,1,0.7518833413266895,20
tree cluster end,bm,north,33.1820958,-116.7813144,2800,1195,3072,2048,1,2.4650292481077978,26
