name,cam_lat,cam_long,elev,code,dir,fov_center,fov_lft,fov_rt,num_events,event_dates,incident,incident_dist,incident_latitude,incident_longitude,x_pixel,y_pixel,,Miles
Lyons Peak,32.7015,-116.7646,3700,lp,e,"[-116.23136575570216, 32.7015]","[-116.38619562001993, 33.0197276883123]","[-116.38887682424091, 32.382122568778954]",6,20160619,Border Fire,16.36674487,32.60729,-116.63028,,,1,10.16982063
Otay Mountain,32.5948,-116.8447,3565,om,e,"[-116.31209855990625, 32.5948]","[-116.46675020578886, 32.913035450815606]","[-116.4694172863813, 32.27541944575791]",12,20160619,Border Fire,20.13384814,32.60729,-116.63028,,,1,12.51058935
Mesa Grande,33.188,-116.761,4280,mg,s,"[-116.761, 32.73715879567527]","[-116.38323866782441, 32.86863685756763]","[-117.13876133217558, 32.86863685756762]",4,20160718,Feather Fire,25.41148375,32.9612,-116.7945,,,1,15.78995907
Lyons Peak,32.7015,-116.7646,3700,lp,n,"[-116.7646, 33.152343781045175]","[-117.14300437998006, 33.019727688312294]","[-116.38619562001993, 33.0197276883123]",12,20160718,Feather Fire,29.01218085,32.9612,-116.7945,0,0,1,18.02732783
Mesa Grande,33.188,-116.761,4280,mg,s,"[-116.761, 32.73715879567527]","[-116.38323866782441, 32.86863685756763]","[-117.13876133217558, 32.86863685756762]",4,20160722,Rock Fire,27.71502923,33.00056,-116.9571,,,1,17.22131543
Black Mountain,32.98,-117.12,1600,bl,n,"[-117.12, 33.43082361873078]","[-117.49960229720907, 33.298207358327076]","[-116.74039770279094, 33.298207358327076]",3,20161113,Gopher Fire,30.71664365,33.254355,-117.158475,880,765,1,19.08643158
Big Black Mountain,33.1599,-116.8081,4055,bm,n,"[-116.8081, 33.61071054911843]","[-117.18848493961107, 33.478094173241445]","[-116.42771506038892, 33.478094173241445]",3,20161113,Gopher Fire,34.24788611,33.254355,-117.158475,,,1,21.28064324
Big Black Mountain,33.1599,-116.8081,4055,bm,w,"[-117.34409131608477, 33.1599]","[-117.18574226477494, 32.840536030162966]","[-117.18848493961107, 33.478094173241445]",3,20161113,Gopher Fire,34.24788611,33.254355,-117.158475,,,1,21.28064324
Red Mountain,33.4008,-117.1905,1600,rm,w,"[-117.72796553745921, 33.4008]","[-117.56916843260585, 33.081443131239055]","[-117.57194393813225, 33.71897645296838]",16,20170519,Deluz Fire,12.39726394,33.3906,-117.32348,715,850,1,7.703300292
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20170520,Gate Fire,6.334058352,32.65597,-116.80527,,,1,3.935800172
Otay Mountain,32.5948,-116.8447,3565,om,s,"[-116.8447, 32.14391611653981]","[-116.4694172863813, 32.27541944575791]","[-117.2199827136187, 32.27541944575792]",13,20170520,Gate Fire,7.73950667,32.65597,-116.80527,,,1,4.809104999
Boucher Hill,33.3346,-116.9198,5500,bh,w,"[-117.45685866220713, 33.3346]","[-117.29818521585511, 33.01524117811554]","[-117.30095166269716, 33.6527813298777]",8,20170613,Douglas Fire,36.67529234,33.23281,-117.29509,,,1,22.78896308
High Point,33.36,-116.84,6180,hp,n,"[-116.84, 33.81079597072698]","[-117.22126369140182, 33.6781794593324]","[-116.4587363085982, 33.678179459332405]",9,20170613,Douglas Fire,44.59856356,33.23281,-117.29509,,,1,27.71225404
Big Black Mountain,33.1599,-116.8081,4055,bm,n,"[-116.8081, 33.61071054911843]","[-117.18848493961107, 33.478094173241445]","[-116.42771506038892, 33.478094173241445]",3,20170625,Black Fire,3.360505779,33.1683,-116.77342,,,1,2.088120836
Mesa Grande,33.188,-116.761,4280,mg,s,"[-116.761, 32.73715879567527]","[-116.38323866782441, 32.86863685756763]","[-117.13876133217558, 32.86863685756762]",4,20170625,Black Fire,2.476807189,33.1683,-116.77342,,,1,1.53901616
Lyons Peak,32.7015,-116.7646,3700,lp,n,"[-116.7646, 33.152343781045175]","[-117.14300437998006, 33.019727688312294]","[-116.38619562001993, 33.0197276883123]",12,20170627,Sloane Fire,11.84415129,32.7789,-116.8516,0,0,1,7.359612131
Otay Mountain,32.5948,-116.8447,3565,om,e,"[-116.31209855990625, 32.5948]","[-116.46675020578886, 32.913035450815606]","[-116.4694172863813, 32.27541944575791]",12,20170627,Sloane Fire,20.4811964,32.7789,-116.8516,,,1,12.72642149
Black Mountain,32.98,-117.12,1600,bl,e,"[-116.58509818227772, 32.98]","[-116.74039770279094, 33.298207358327076]","[-116.74311609844423, 32.660630738922485]",3,20170711,Jennings Fire,28.84949694,32.84796,-116.85396,,,1,17.92624076
Black Mountain,32.98,-117.12,1600,bl,s,"[-117.12, 32.52914378468391]","[-116.74311609844423, 32.660630738922485]","[-117.49688390155578, 32.660630738922485]",4,20170711,Jennings Fire,28.84949694,32.84796,-116.85396,,,1,17.92624076
Big Black Mountain,33.1599,-116.8081,4055,bm,s,"[-116.8081, 32.709056764890555]","[-116.43045773522505, 32.840536030162966]","[-117.18574226477494, 32.840536030162966]",2,20170711,Jennings Fire,34.94882869,32.84796,-116.85396,,,1,21.71618863
Mt. San Miguel,32.7,-116.94,2550,sm,n,"[-116.94, 33.150843889404484]","[-117.31839797267894, 33.01822779754]","[-116.56160202732104, 33.01822779754]",7,20170711,Jennings Fire,18.31371095,32.84796,-116.85396,,,1,11.37960889
San Diego Supercomputer Center,32.88,-117.24,425,sdsc,e,"[-116.70569960533031, 32.88]","[-116.8608297387217, 33.19821466958003]","[-116.86353472537458, 32.56062780226753]",2,20170711,Jennings Fire,36.23152854,32.84796,-116.85396,,,1,22.51322112
Mesa Grande,33.188,-116.761,4280,mg,n,"[-116.761, 33.63880850448595]","[-117.14150781766253, 33.50619211003771]","[-116.38049218233746, 33.50619211003771]",2,20170722,Lost Fire,19.93215475,33.34659,-116.66107,,,1,12.38526293
Big Black Mountain,33.1599,-116.8081,4055,bm,n,"[-116.8081, 33.61071054911843]","[-117.18848493961107, 33.478094173241445]","[-116.42771506038892, 33.478094173241445]",3,20170722,Lost Fire,24.85675267,33.34659,-116.66107,,,1,15.44526526
High Point,33.36,-116.84,6180,hp,e,"[-116.30278538329296, 33.36]","[-116.4587363085982, 33.678179459332405]","[-116.46150622782201, 33.04064192734967]",2,20170722,Lost Fire,16.68592694,33.34659,-116.66107,,,1,10.36815111
Toro Peak,33.5235,-116.4257,8800,tp,s,"[-116.4257, 33.072683110213006]","[-116.0465041676762, 33.20414675463602]","[-116.80489583232381, 33.204146754636014]",2,20170826,Montezuma Fire,35.11363063,33.20988,-116.46989,,,1,21.81859178
Otay Mountain,32.5948,-116.8447,3565,om,s,"[-116.8447, 32.14391611653981]","[-116.4694172863813, 32.27541944575791]","[-117.2199827136187, 32.27541944575792]",13,20170901,Border Fire,7.02541065,32.6001,-116.76997,,,1,4.365386441
Boucher Hill,33.3346,-116.9198,5500,bh,n,"[-116.9198, 33.785397823642114]","[-117.30095166269716, 33.6527813298777]","[-116.53864833730283, 33.652781329877705]",4,20171207,Lilac Fire,22.62736296,33.3237,-117.163,,,1,14.05998715
Boucher Hill,33.3346,-116.9198,5500,bh,w,"[-117.45685866220713, 33.3346]","[-117.29818521585511, 33.01524117811554]","[-117.30095166269716, 33.6527813298777]",8,20171207,Lilac Fire,22.62736296,33.3237,-117.163,,,1,14.05998715
Red Mountain,33.4008,-117.1905,1600,rm,s,"[-117.1905, 32.94997420337428]","[-116.81183156739415, 33.081443131239055]","[-117.56916843260585, 33.081443131239055]",1,20171207,Lilac Fire,8.945471046,33.3237,-117.163,,,1,5.558456289
Red Mountain,33.4008,-117.1905,1600,rm,n,"[-117.1905, 33.851592992948994]","[-117.57194393813225, 33.71897645296838]","[-116.80905606186775, 33.71897645296838]",6,20180504,Alpha Fire,28.98367483,33.389425,-117.502405,,,1,18.00961501
Boucher Hill,33.3346,-116.9198,5500,bh,n,"[-116.9198, 33.785397823642114]","[-117.30095166269716, 33.6527813298777]","[-116.53864833730283, 33.652781329877705]",4,20180504,Alpha Fire,54.44969715,33.389425,-117.502405,,,1,33.83346277
Red Mountain,33.4008,-117.1905,1600,rm,e,"[-116.65303446254079, 33.4008]","[-116.80905606186775, 33.71897645296838]","[-116.81183156739415, 33.081443131239055]",5,20180522,Agua Fire,15.62978415,33.35505,-117.03134,,,1,9.711894607
Red Mountain,33.4008,-117.1905,1600,rm,w,"[-117.72796553745921, 33.4008]","[-117.56916843260585, 33.081443131239055]","[-117.57194393813225, 33.71897645296838]",16,20180603,Adobe Fire,69.93559041,32.78031,-117.06782,1840,780,1,43.45594775
Mt. San Miguel,32.7,-116.94,2550,sm,n,"[-116.94, 33.150843889404484]","[-117.31839797267894, 33.01822779754]","[-116.56160202732104, 33.01822779754]",7,20180603,Green Fire,5.834081184,32.75072,-116.92404,,,1,3.625128859
Boucher Hill,33.3346,-116.9198,5500,bh,n,"[-116.9198, 33.785397823642114]","[-117.30095166269716, 33.6527813298777]","[-116.53864833730283, 33.652781329877705]",4,20170807,None,0,0,0,,,0,
Mt. San Miguel,32.7,-116.94,2550,sm,w,"[-117.47322532501433, 32.7]","[-117.31571696748713, 32.38062252484705]","[-117.31839797267894, 33.01822779754]",3,20180603,Green Fire,5.834081184,32.75072,-116.92404,,,1,3.625128859
Black Mountain,32.98,-117.12,1600,bl,s,"[-117.12, 32.52914378468391]","[-116.74311609844423, 32.660630738922485]","[-117.49688390155578, 32.660630738922485]",4,20180603,Adobe Fire,22.73290544,32.78031,-117.06782,,,1,14.12556819
Red Mountain,33.4008,-117.1905,1600,rm,w,"[-117.72796553745921, 33.4008]","[-117.56916843260585, 33.081443131239055]","[-117.57194393813225, 33.71897645296838]",16,20180605,Vista Fire,3.722208581,33.40769,-117.22974,1355,900,1,2.312872468
Mt. Laguna,32.8922,-116.4209,6300,ml,s,"[-116.4209, 32.44133746309627]","[-116.04438376418457, 32.57282816036067]","[-116.79741623581543, 32.57282816036067]",4,20180606,Recycle Fire,29.418149,32.63046,-116.46674,,,1,18.27958466
Lyons Peak,32.7015,-116.7646,3700,lp,n,"[-116.7646, 33.152343781045175]","[-117.14300437998006, 33.019727688312294]","[-116.38619562001993, 33.0197276883123]",12,20180706,Building Fire,9.078530863,32.619855,-116.764733,1990,1280,1,5.641135801
Mt. San Miguel,32.7,-116.94,2550,sm,n,"[-116.94, 33.150843889404484]","[-117.31839797267894, 33.01822779754]","[-116.56160202732104, 33.01822779754]",7,20180706,Building Fire,18.67142617,32.619855,-116.764733,,,1,11.60188275
Mt. San Miguel,32.7,-116.94,2550,sm,e,"[-116.40677467498567, 32.7]","[-116.56160202732104, 33.01822779754]","[-116.56428303251286, 32.38062252484705]",4,20180706,Building Fire,18.67142617,32.619855,-116.764733,,,1,11.60188275
Mt. Woodson,33.0087,-116.9709,2800,wc,e,"[-116.43582502218713, 33.0087]","[-116.59117331258486, 33.326905257636774]","[-116.59389556804973, 32.68933158235236]",12,20180706,West Fire,29.6607012,32.833674,-116.7311,,,1,18.43029957
Otay Mountain,32.5948,-116.8447,3565,om,s,"[-116.8447, 32.14391611653981]","[-116.4694172863813, 32.27541944575791]","[-117.2199827136187, 32.27541944575792]",13,20180717,Border Fire,4.608464684,32.557566,-116.8663,,,1,2.863566309
Mt. Woodson,33.0087,-116.9709,2800,wc,e,"[-116.43582502218713, 33.0087]","[-116.59117331258486, 33.326905257636774]","[-116.59389556804973, 32.68933158235236]",12,20180720,Cinnamon Fire,17.51401335,33.04898,-116.78928,,,1,10.88269999
Black Mountain,32.98,-117.12,1600,bl,e,"[-116.58509818227772, 32.98]","[-116.74039770279094, 33.298207358327076]","[-116.74311609844423, 32.660630738922485]",3,20180727,Pasqual Fire,21.77225995,33.07892,-116.91845,,,1,13.52865094
Boucher Hill,33.3346,-116.9198,5500,bh,n,"[-116.9198, 33.785397823642114]","[-117.30095166269716, 33.6527813298777]","[-116.53864833730283, 33.652781329877705]",4,20180727,Pasqual Fire,28.43063555,33.07892,-116.91845,,,1,17.66597244
Boucher Hill,33.3346,-116.9198,5500,bh,s,"[-116.9198, 32.8837694047889]","[-116.54141478414488, 33.01524117811553]","[-117.29818521585511, 33.01524117811554]",4,20180727,Pasqual Fire,28.43063555,33.07892,-116.91845,780,900,1,17.66597244
Mesa Grande,33.188,-116.761,4280,mg,w,"[-117.29716237260907, 33.188]","[-117.13876133217558, 32.86863685756762]","[-117.14150781766253, 33.50619211003771]",3,20180727,Pasqual Fire,19.02783981,33.07892,-116.91845,380,1160,1,11.82334785
Mt. Woodson,33.0087,-116.9709,2800,wc,n,"[-116.9709, 33.45952153607274]","[-117.35062668741514, 33.32690525763677]","[-116.59117331258486, 33.326905257636774]",5,20180727,Pasqual Fire,9.212358742,33.07892,-116.91845,,,1,5.724292564
Red Mountain,33.4008,-117.1905,1600,rm,w,"[-117.72796553745921, 33.4008]","[-117.56916843260585, 33.081443131239055]","[-117.57194393813225, 33.71897645296838]",16,20180728,Rock Fire,4.888561583,33.41476,-117.24044,1520,880,1,3.037610399
Santa Ysabel,33.13,-116.61,5500,vo,w,"[-117.1458095636703, 33.13]","[-116.98751575248369, 32.81063515002747]","[-116.99025437801869, 33.44819636750495]",1,20180806,Casner Fire,17.07871616,33.05737,-116.77154,,,1,10.61221894
Mesa Grande,33.188,-116.761,4280,mg,s,"[-116.761, 32.73715879567527]","[-116.38323866782441, 32.86863685756763]","[-117.13876133217558, 32.86863685756762]",4,20180806,Casner Fire,14.55853946,33.05737,-116.77154,,,1,9.046254223
Black Mountain,32.98,-117.12,1600,bl,e,"[-116.58509818227772, 32.98]","[-116.74039770279094, 33.298207358327076]","[-116.74311609844423, 32.660630738922485]",3,20180809,Rangeland Fire,22.88736359,33.076239,-116.902985,,,1,14.221544
Boucher Hill,33.3346,-116.9198,5500,bh,s,"[-116.9198, 32.8837694047889]","[-116.54141478414488, 33.01524117811553]","[-117.29818521585511, 33.01524117811554]",4,20180809,Rangeland Fire,28.77103702,33.076239,-116.902985,825,900,1,17.87748804
Mesa Grande,33.188,-116.761,4280,mg,w,"[-117.29716237260907, 33.188]","[-117.13876133217558, 32.86863685756762]","[-117.14150781766253, 33.50619211003771]",3,20180809,Rangeland Fire,18.14481584,33.076239,-116.902985,565,1150,1,11.27466236
Black Mountain,32.98,-117.12,1600,bl,n,"[-117.12, 33.43082361873078]","[-117.49960229720907, 33.298207358327076]","[-116.74039770279094, 33.298207358327076]",3,20180813,Cloverdale Fire,15.78778012,33.0971179,-117.0242529,1820,805,1,9.810068721
Big Black Mountain,33.1599,-116.8081,4055,bm,e,"[-116.27210868391522, 33.1599]","[-116.42771506038892, 33.478094173241445]","[-116.43045773522505, 32.840536030162966]",1,20191005,None,0,0,0,,,0,
Big Black Mountain,33.1599,-116.8081,4055,bm,s,"[-116.8081, 32.709056764890555]","[-116.43045773522505, 32.840536030162966]","[-117.18574226477494, 32.840536030162966]",2,20200521,None,0,0,0,,,0,
Big Black Mountain,33.1599,-116.8081,4055,bm,w,"[-117.34409131608477, 33.1599]","[-117.18574226477494, 32.840536030162966]","[-117.18848493961107, 33.478094173241445]",3,20200705,None,0,0,0,,,0,
Big Black Mountain,33.1599,-116.8081,4055,bm,w,"[-117.34409131608477, 33.1599]","[-117.18574226477494, 32.840536030162966]","[-117.18848493961107, 33.478094173241445]",3,20201003,None,0,0,0,,,0,
Boucher Hill,33.3346,-116.9198,5500,bh,s,"[-116.9198, 32.8837694047889]","[-116.54141478414488, 33.01524117811553]","[-117.29818521585511, 33.01524117811554]",4,20180813,Cloverdale Fire,28.13788032,33.0971179,-117.0242529,1215,910,1,17.48406283
Mesa Grande,33.188,-116.761,4280,mg,w,"[-117.29716237260907, 33.188]","[-117.13876133217558, 32.86863685756762]","[-117.14150781766253, 33.50619211003771]",3,20180813,Cloverdale Fire,26.5117389,33.0971179,-117.0242529,1030,1135,1,16.47362571
Boucher Hill,33.3346,-116.9198,5500,bh,w,"[-117.45685866220713, 33.3346]","[-117.29818521585511, 33.01524117811554]","[-117.30095166269716, 33.6527813298777]",8,20190610,Pauma Fire,6.447442907,33.30267,-116.97772,,,1,4.006254047
Boucher Hill,33.3346,-116.9198,5500,bh,w,"[-117.45685866220713, 33.3346]","[-117.29818521585511, 33.01524117811554]","[-117.30095166269716, 33.6527813298777]",8,20190610,Pauma Fire,6.447442907,33.30267,-116.97772,,,1,4.006254047
Boucher Hill,33.3346,-116.9198,5500,bh,w,"[-117.45685866220713, 33.3346]","[-117.29818521585511, 33.01524117811554]","[-117.30095166269716, 33.6527813298777]",8,20190610,Pauma Fire,6.447442907,33.30267,-116.97772,,,1,4.006254047
Red Mountain,33.4008,-117.1905,1600,rm,w,"[-117.72796553745921, 33.4008]","[-117.56916843260585, 33.081443131239055]","[-117.57194393813225, 33.71897645296838]",16,20190620,Weisgarber Fire,9.863974621,33.39684,-117.29665,950,835,1,6.129187774
High Point,33.36,-116.84,6180,hp,n,"[-116.84, 33.81079597072698]","[-117.22126369140182, 33.6781794593324]","[-116.4587363085982, 33.678179459332405]",9,20190629,Otay Fire,82.2360162,32.62305556,-116.9141667,,,1,51.09907562
Cuyamaca Peak,32.95,-116.61,6500,cp,s,"[-116.61, 32.4991416236951]","[-116.23324190491, 32.63062985757738]","[-116.98675809509, 32.63062985757738]",3,20200829,None,0,0,0,,,0,
Cuyamaca Peak,32.95,-116.61,6500,cp,s,"[-116.61, 32.4991416236951]","[-116.23324190491, 32.63062985757738]","[-116.98675809509, 32.63062985757738]",3,20201013,None,0,0,0,,,0,
Green Peak,34.0864,-118.5488,1760,dwpgm,n,"[-118.5488, 34.537142694313765]","[-118.93332785805947, 34.404525621185115]","[-118.16427214194053, 34.404525621185115]",1,20200812,None,0,0,0,,,0,
High Point,33.36,-116.84,6180,hp,n,"[-116.84, 33.81079597072698]","[-117.22126369140182, 33.6781794593324]","[-116.4587363085982, 33.678179459332405]",9,20171010,None,0,0,0,,,0,
High Point,33.36,-116.84,6180,hp,n,"[-116.84, 33.81079597072698]","[-117.22126369140182, 33.6781794593324]","[-116.4587363085982, 33.678179459332405]",9,20180614,None,0,0,0,,,0,
High Point,33.36,-116.84,6180,hp,n,"[-116.84, 33.81079597072698]","[-117.22126369140182, 33.6781794593324]","[-116.4587363085982, 33.678179459332405]",9,20180704,None,0,0,0,,,0,
High Point,33.36,-116.84,6180,hp,n,"[-116.84, 33.81079597072698]","[-117.22126369140182, 33.6781794593324]","[-116.4587363085982, 33.678179459332405]",9,20180725,None,0,0,0,,,0,
High Point,33.36,-116.84,6180,hp,n,"[-116.84, 33.81079597072698]","[-117.22126369140182, 33.6781794593324]","[-116.4587363085982, 33.678179459332405]",9,20190716,None,0,0,0,,,0,
High Point,33.36,-116.84,6180,hp,n,"[-116.84, 33.81079597072698]","[-117.22126369140182, 33.6781794593324]","[-116.4587363085982, 33.678179459332405]",9,20200709,None,0,0,0,,,0,
High Point,33.36,-116.84,6180,hp,n,"[-116.84, 33.81079597072698]","[-117.22126369140182, 33.6781794593324]","[-116.4587363085982, 33.678179459332405]",9,20200807,None,0,0,0,,,0,
High Point,33.36,-116.84,6180,hp,e,"[-116.30278538329296, 33.36]","[-116.4587363085982, 33.678179459332405]","[-116.46150622782201, 33.04064192734967]",2,20210209,None,0,0,0,,,0,
High Point,33.36,-116.84,6180,hp,s,"[-116.84, 32.90917124536389]","[-116.46150622782201, 33.04064192734967]","[-117.218493772178, 33.04064192734967]",3,20180614,None,0,0,0,,,0,
High Point,33.36,-116.84,6180,hp,s,"[-116.84, 32.90917124536389]","[-116.46150622782201, 33.04064192734967]","[-117.218493772178, 33.04064192734967]",3,20191005,None,0,0,0,,,0,
High Point,33.36,-116.84,6180,hp,w,"[-117.37721461670705, 33.36]","[-117.218493772178, 33.04064192734967]","[-117.22126369140182, 33.6781794593324]",3,20171010,None,0,0,0,,,0,
High Point,33.36,-116.84,6180,hp,w,"[-117.37721461670705, 33.36]","[-117.218493772178, 33.04064192734967]","[-117.22126369140182, 33.6781794593324]",3,20200202,None,0,0,0,,,0,
High Point,33.36,-116.84,6180,hp,w,"[-117.37721461670705, 33.36]","[-117.218493772178, 33.04064192734967]","[-117.22126369140182, 33.6781794593324]",3,20200205,None,0,0,0,,,0,
L.A.Co.F.D Helibase 69 Bravo,34.07,-118.63,2480,69bravo,n,"[-118.63, 34.52074390310967]","[-119.01445286134765, 34.388126843973296]","[-118.24554713865234, 34.388126843973296]",1,20190813,None,0,0,0,,,0,
L.A.Co.F.D Helibase 69 Bravo,34.07,-118.63,2480,69bravo,e,"[-118.0883456998243, 34.07]","[-118.24554713865234, 34.388126843973296]","[-118.2484158150905, 33.75066294148143]",1,20190813,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,n,"[-116.7646, 33.152343781045175]","[-117.14300437998006, 33.019727688312294]","[-116.38619562001993, 33.0197276883123]",12,20190913,None,0,0,0,0,0,0,
Lyons Peak,32.7015,-116.7646,3700,lp,n,"[-116.7646, 33.152343781045175]","[-117.14300437998006, 33.019727688312294]","[-116.38619562001993, 33.0197276883123]",12,20191006,None,0,0,0,2720,1033,0,
Lyons Peak,32.7015,-116.7646,3700,lp,n,"[-116.7646, 33.152343781045175]","[-117.14300437998006, 33.019727688312294]","[-116.38619562001993, 33.0197276883123]",12,20200813,None,0,0,0,0,0,0,
Lyons Peak,32.7015,-116.7646,3700,lp,n,"[-116.7646, 33.152343781045175]","[-117.14300437998006, 33.019727688312294]","[-116.38619562001993, 33.0197276883123]",12,20200822,None,0,0,0,0,0,0,
Lyons Peak,32.7015,-116.7646,3700,lp,e,"[-116.23136575570216, 32.7015]","[-116.38619562001993, 33.0197276883123]","[-116.38887682424091, 32.382122568778954]",6,20191006,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,e,"[-116.23136575570216, 32.7015]","[-116.38619562001993, 33.0197276883123]","[-116.38887682424091, 32.382122568778954]",6,20200822,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,e,"[-116.23136575570216, 32.7015]","[-116.38619562001993, 33.0197276883123]","[-116.38887682424091, 32.382122568778954]",6,20200911,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,e,"[-116.23136575570216, 32.7015]","[-116.38619562001993, 33.0197276883123]","[-116.38887682424091, 32.382122568778954]",6,20210302,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,e,"[-116.23136575570216, 32.7015]","[-116.38619562001993, 33.0197276883123]","[-116.38887682424091, 32.382122568778954]",6,20210302,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20190529,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20190803,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20190814,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20191001,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20191006,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20191007,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20200727,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20200727,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20200806,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20200822,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20200930,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20201105,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20210110,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,w,"[-117.29783424429785, 32.7015]","[-117.14032317575908, 32.38212256877896]","[-117.14300437998006, 33.019727688312294]",5,20200806,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,w,"[-117.29783424429785, 32.7015]","[-117.14032317575908, 32.38212256877896]","[-117.14300437998006, 33.019727688312294]",5,20200806,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,w,"[-117.29783424429785, 32.7015]","[-117.14032317575908, 32.38212256877896]","[-117.14300437998006, 33.019727688312294]",5,20200822,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,w,"[-117.29783424429785, 32.7015]","[-117.14032317575908, 32.38212256877896]","[-117.14300437998006, 33.019727688312294]",5,20201216,None,0,0,0,,,0,
