name,cam_lat,cam_long,elev,code,dir,fov_center,fov_lft,fov_rt,num_events,event_dates,x_pixel,y_pixel,incident,incident_dist,incident_latitude,incident_longitude,check
Black Mountain,32.98166822,-117.1164071,1600,bl,s,"[-117.12, 32.52914378468391]","[-116.74311609844423, 32.660630738922485]","[-117.49688390155578, 32.660630738922485]",4,20180603,1229,685,Adobe Fire,14.19530153,32.78031,-117.06782,1
Red Mountain,33.4008,-117.1905,1600,rm,e,"[-116.65303446254079, 33.4008]","[-116.80905606186775, 33.71897645296838]","[-116.81183156739415, 33.081443131239055]",5,20180522,1329,780,Agua Fire,9.711897611,33.35505,-117.03134,1
High Point,33.363018,-116.83622,6180,hp,n,"[-116.84, 33.81079597072698]","[-117.22126369140182, 33.6781794593324]","[-116.4587363085982, 33.678179459332405]",9,20180704,1552,761,Benton Fire,15.0971416,33.56349,-116.732032,1
Big Black Mountain,33.1599,-116.8081,4055,bm,n,"[-116.8081, 33.61071054911843]","[-117.18848493961107, 33.478094173241445]","[-116.42771506038892, 33.478094173241445]",3,20170625,1613,784,Black Fire,2.088121482,33.1683,-116.77342,1
Mesa Grande,33.188869,-116.760651,4280,mg,s,"[-116.761, 32.73715879567527]","[-116.38323866782441, 32.86863685756763]","[-117.13876133217558, 32.86863685756762]",4,20170625,1429,629,Black Fire,1.601568775,33.1683,-116.77342,1
Mt. San Miguel,32.696804,-116.936363,2550,sm,w,"[-117.47322532501433, 32.7]","[-117.31571696748713, 32.38062252484705]","[-117.31839797267894, 33.01822779754]",3,20190825,1057,866,Border 10 Fire,10.28432322,32.557546,-116.873955,0
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20200727,2965,1323,Border 11 Fire,5.495289805,32.62212,-116.77048,1
Otay Mountain,32.5948,-116.8447,3565,om,e,"[-116.31209855990625, 32.5948]","[-116.46675020578886, 32.913035450815606]","[-116.4694172863813, 32.27541944575791]",12,20200727,2558,1220,Border 11 Fire,4.714200267,32.62212,-116.77048,1
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20190814,1065,1143,Border 9 Fire,8.816839717,32.57394,-116.760465,1
Otay Mountain,32.5948,-116.8447,3565,om,e,"[-116.31209855990625, 32.5948]","[-116.46675020578886, 32.913035450815606]","[-116.4694172863813, 32.27541944575791]",12,20190814,2338,1161,Border 9 Fire,5.111410621,32.57394,-116.760465,1
Los Pinos,32.734673,-116.577751,4800,pi,s,"[-116.58, 32.27912580807218]","[-116.20415877907386, 32.41062340363592]","[-116.95584122092613, 32.41062340363591]",10,20160619,1696,680,Border Fire,9.316515817,32.60729,-116.63028,1
Lyons Peak,32.7015,-116.7646,3700,lp,e,"[-116.23136575570216, 32.7015]","[-116.38619562001993, 33.0197276883123]","[-116.38887682424091, 32.382122568778954]",6,20160619,1555,559,Border Fire,10.16982377,32.60729,-116.63028,1
Mt. Woodson,33.0087,-116.9709,2800,wc,e,"[-116.43582502218713, 33.0087]","[-116.59117331258486, 33.326905257636774]","[-116.59389556804973, 32.68933158235236]",14,20190712,2190,1430,Border Fire,33.08915518,32.566389,-116.7525,1
Otay Mountain,32.5948,-116.8447,3565,om,e,"[-116.31209855990625, 32.5948]","[-116.46675020578886, 32.913035450815606]","[-116.4694172863813, 32.27541944575791]",12,20160619,1020,800,Border Fire,12.51059322,32.60729,-116.63028,1
Otay Mountain,32.5948,-116.8447,3565,om,s,"[-116.8447, 32.14391611653981]","[-116.4694172863813, 32.27541944575791]","[-117.2199827136187, 32.27541944575792]",13,20170901,1875,886,Border Fire,4.36538779,32.6001,-116.76997,0
Otay Mountain,32.5948,-116.8447,3565,om,s,"[-116.8447, 32.14391611653981]","[-116.4694172863813, 32.27541944575791]","[-117.2199827136187, 32.27541944575792]",13,20180717,1932,909,Border Fire,2.863567194,32.557566,-116.8663,1
High Point,33.363018,-116.83622,6180,hp,n,"[-116.84, 33.81079597072698]","[-117.22126369140182, 33.6781794593324]","[-116.4587363085982, 33.678179459332405]",9,20180614,1062,792,Bridle Fire,11.18253738,33.524412,-116.821724,1
High Point,33.363018,-116.83622,6180,hp,s,"[-116.84, 32.90917124536389]","[-116.46150622782201, 33.04064192734967]","[-117.218493772178, 33.04064192734967]",3,20180614,1044,767,Bridle Fire,11.18253738,33.524412,-116.821724,0
Mt. Woodson,33.0087,-116.9709,2800,wc,e,"[-116.43582502218713, 33.0087]","[-116.59117331258486, 33.326905257636774]","[-116.59389556804973, 32.68933158235236]",14,20180614,911,1225,Bridle Fire,36.65965856,33.524412,-116.821724,1
San Diego Supercomputer Center,32.88448394,-117.2397484,425,sdsc,e,"[-116.70569960533031, 32.88]","[-116.8608297387217, 33.19821466958003]","[-116.86353472537458, 32.56062780226753]",2,20171016,689,809,Buffalo Fire,37.00246637,33.402411,-117.402445,0
Lyons Peak,32.7015,-116.7646,3700,lp,n,"[-116.7646, 33.152343781045175]","[-117.14300437998006, 33.019727688312294]","[-116.38619562001993, 33.0197276883123]",12,20180706,1997,1279,Building Fire,5.641137544,32.619855,-116.764733,0
Mt. San Miguel,32.696804,-116.936363,2550,sm,n,"[-116.94, 33.150843889404484]","[-117.31839797267894, 33.01822779754]","[-116.56160202732104, 33.01822779754]",7,20180706,1900,817,Building Fire,11.31112247,32.619855,-116.764733,0
Mt. San Miguel,32.696804,-116.936363,2550,sm,e,"[-116.40677467498567, 32.7]","[-116.56160202732104, 33.01822779754]","[-116.56428303251286, 32.38062252484705]",4,20180706,1088,844,Building Fire,11.31112247,32.619855,-116.764733,1
Otay Mountain,32.5948,-116.8447,3565,om,w,"[-117.37730144009376, 32.5948]","[-117.2199827136187, 32.27541944575792]","[-117.22264979421115, 32.9130354508156]",6,20190801,1110,1041,Caliente Fire,10.6767871,32.575556,-117.026667,1
Mt. Woodson,33.0087,-116.9709,2800,wc,e,"[-116.43582502218713, 33.0087]","[-116.59117331258486, 33.326905257636774]","[-116.59389556804973, 32.68933158235236]",14,20200930,1019,1177,Candy Fire,57.1655609,33.764357,-117.374419,0
Red Mountain,33.4008,-117.1905,1600,rm,w,"[-117.72796553745921, 33.4008]","[-117.56916843260585, 33.081443131239055]","[-117.57194393813225, 33.71897645296838]",16,20200930,218,859,Candy Fire,27.25909858,33.764357,-117.374419,1
Mesa Grande,33.188869,-116.760651,4280,mg,s,"[-116.761, 32.73715879567527]","[-116.38323866782441, 32.86863685756763]","[-117.13876133217558, 32.86863685756762]",4,20180806,1852,1119,Casner Fire,9.107538174,33.05737,-116.77154,1
Santa Ysabel,33.138256,-116.617058,5500,vo,w,"[-117.1458095636703, 33.13]","[-116.98751575248369, 32.81063515002747]","[-116.99025437801869, 33.44819636750495]",1,20180806,280,570,Casner Fire,10.54460539,33.05737,-116.77154,1
Los Pinos,32.734673,-116.577751,4800,pi,e,"[-116.04659616305612, 32.73]","[-116.20147379070163, 33.04822561243623]","[-116.20415877907386, 32.41062340363592]",5,20171021,1537,721,Church Fire,13.25373042,32.64962,-116.37345,1
Mt. Woodson,33.0087,-116.9709,2800,wc,e,"[-116.43582502218713, 33.0087]","[-116.59117331258486, 33.326905257636774]","[-116.59389556804973, 32.68933158235236]",14,20180720,846,1133,Cinnamon Fire,10.88270335,33.04898,-116.78928,1
Black Mountain,32.98166822,-117.1164071,1600,bl,n,"[-117.12, 33.43082361873078]","[-117.49960229720907, 33.298207358327076]","[-116.74039770279094, 33.298207358327076]",3,20180813,1825,809,Cloverdale Fire,9.597911797,33.0971179,-117.0242529,1
Boucher Hill,33.3346,-116.9198,5500,bh,s,"[-116.9198, 32.8837694047889]","[-116.54141478414488, 33.01524117811553]","[-117.29818521585511, 33.01524117811554]",4,20180813,1219,908,Cloverdale Fire,17.48406823,33.0971179,-117.0242529,1
Mesa Grande,33.188869,-116.760651,4280,mg,w,"[-117.29716237260907, 33.188]","[-117.13876133217558, 32.86863685756762]","[-117.14150781766253, 33.50619211003771]",3,20180813,1039,1136,Cloverdale Fire,16.51518313,33.0971179,-117.0242529,1
Otay Mountain,32.5948,-116.8447,3565,om,s,"[-116.8447, 32.14391611653981]","[-116.4694172863813, 32.27541944575791]","[-117.2199827136187, 32.27541944575792]",13,20191030,1133,1306,Copper Fire,2.169294715,32.564583,-116.834583,1
Lyons Peak,32.7015,-116.7646,3700,lp,n,"[-116.7646, 33.152343781045175]","[-117.14300437998006, 33.019727688312294]","[-116.38619562001993, 33.0197276883123]",12,20190728,342,1175,Dehesa Fire,4.922036805,32.767649,-116.796032,1
Otay Mountain,32.5948,-116.8447,3565,om,n,"[-116.8447, 33.04565148266326]","[-117.22264979421115, 32.9130354508156]","[-116.46675020578886, 32.913035450815606]",10,20190728,1361,1078,Dehesa Fire,12.27352032,32.767649,-116.796032,1
Los Pinos,32.734673,-116.577751,4800,pi,w,"[-117.11340383694387, 32.73]","[-116.95584122092613, 32.41062340363591]","[-116.95852620929837, 33.04822561243623]",6,20190924,1271,752,Dehesa Fire ,13.81063324,32.787656,-116.806941,1
Lyons Peak,32.7015,-116.7646,3700,lp,n,"[-116.7646, 33.152343781045175]","[-117.14300437998006, 33.019727688312294]","[-116.38619562001993, 33.0197276883123]",12,20190924,692,1130,Dehesa Fire ,6.441312768,32.787656,-116.806941,1
Mt. Laguna,32.8922,-116.4209,6300,ml,w,"[-116.95527360858537, 32.8922]","[-116.79741623581543, 32.57282816036067]","[-116.80012285506182, 33.21041377829245]",4,20190924,746,880,Dehesa Fire ,23.54560157,32.787656,-116.806941,1
Mt. Laguna Observatory,32.8397,-116.4265,6180,mlo,w,"[-116.96055886345307, 32.8397]","[-116.80279715497225, 32.52032661974371]","[-116.80549675521806, 33.15791761239618]",2,20190924,851,828,Dehesa Fire ,22.3824363,32.787656,-116.806941,1
Mt. San Miguel,32.696804,-116.936363,2550,sm,n,"[-116.94, 33.150843889404484]","[-117.31839797267894, 33.01822779754]","[-116.56160202732104, 33.01822779754]",7,20190924,1664,616,Dehesa Fire ,9.796715948,32.787656,-116.806941,1
Red Mountain,33.4008,-117.1905,1600,rm,w,"[-117.72796553745921, 33.4008]","[-117.56916843260585, 33.081443131239055]","[-117.57194393813225, 33.71897645296838]",16,20170519,711,846,Deluz Fire,7.703302671,33.3906,-117.32348,1
Mt. Laguna Observatory,32.8397,-116.4265,6180,mlo,s,"[-116.4265, 32.38883368733383]","[-116.05020284502775, 32.52032661974371]","[-116.80279715497225, 32.52032661974371]",11,20170821,1114,847,Eclipse Fire,13.10579991,32.65003,-116.42907,1
Santiago Peak,33.71117247,-117.534115,5700,stgo,s,"[0, 0]","[0, 0]","[0, 0]",3,20180602,2740,1015,Ethanac Fire,14.64971525,33.742,-117.28189,0
Santiago Peak,33.71117247,-117.534115,5700,stgo,w,"[0, 0]","[0, 0]","[0, 0]",2,20180602,433,1156,Ethanac Fire,14.64971525,33.742,-117.28189,0
Lyons Peak,32.7015,-116.7646,3700,lp,n,"[-116.7646, 33.152343781045175]","[-117.14300437998006, 33.019727688312294]","[-116.38619562001993, 33.0197276883123]",12,20160718,789,513,Feather Fire,18.02733339,32.9612,-116.7945,1
Mesa Grande,33.188869,-116.760651,4280,mg,s,"[-116.761, 32.73715879567527]","[-116.38323866782441, 32.86863685756763]","[-117.13876133217558, 32.86863685756762]",4,20160718,536,565,Feather Fire,15.85203734,32.9612,-116.7945,1
Mt. Woodson,33.0087,-116.9709,2800,wc,e,"[-116.43582502218713, 33.0087]","[-116.59117331258486, 33.326905257636774]","[-116.59389556804973, 32.68933158235236]",14,20160718,1417,786,Feather Fire,10.73739128,32.9612,-116.7945,1
Los Pinos,32.734673,-116.577751,4800,pi,s,"[-116.58, 32.27912580807218]","[-116.20415877907386, 32.41062340363592]","[-116.95584122092613, 32.41062340363591]",10,20170520,1814,695,Gate Fire,14.30330443,32.65597,-116.80527,1
Los Pinos,32.734673,-116.577751,4800,pi,w,"[-117.11340383694387, 32.73]","[-116.95584122092613, 32.41062340363591]","[-116.95852620929837, 33.04822561243623]",6,20170520,416,767,Gate Fire,14.30330443,32.65597,-116.80527,1
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20170520,1395,631,Gate Fire,3.935801389,32.65597,-116.80527,1
Otay Mountain,32.5948,-116.8447,3565,om,s,"[-116.8447, 32.14391611653981]","[-116.4694172863813, 32.27541944575791]","[-117.2199827136187, 32.27541944575792]",13,20170520,1707,555,Gate Fire,4.809106485,32.65597,-116.80527,0
Big Black Mountain,33.1599,-116.8081,4055,bm,n,"[-116.8081, 33.61071054911843]","[-117.18848493961107, 33.478094173241445]","[-116.42771506038892, 33.478094173241445]",3,20161113,141,717,Gopher Fire,21.28064981,33.254355,-117.158475,1
Big Black Mountain,33.1599,-116.8081,4055,bm,w,"[-117.34409131608477, 33.1599]","[-117.18574226477494, 32.840536030162966]","[-117.18848493961107, 33.478094173241445]",3,20161113,1622,761,Gopher Fire,21.28064981,33.254355,-117.158475,1
Black Mountain,32.98166822,-117.1164071,1600,bl,n,"[-117.12, 33.43082361873078]","[-117.49960229720907, 33.298207358327076]","[-116.74039770279094, 33.298207358327076]",3,20161113,892,766,Gopher Fire,18.99748648,33.254355,-117.158475,1
Mt. San Miguel,32.696804,-116.936363,2550,sm,n,"[-116.94, 33.150843889404484]","[-117.31839797267894, 33.01822779754]","[-116.56160202732104, 33.01822779754]",7,20180603,1034,941,Green Fire,3.793482549,32.75072,-116.92404,1
Mt. San Miguel,32.696804,-116.936363,2550,sm,w,"[-117.47322532501433, 32.7]","[-117.31571696748713, 32.38062252484705]","[-117.31839797267894, 33.01822779754]",3,20180603,1411,844,Green Fire,3.793482549,32.75072,-116.92404,0
Santiago Peak,33.71117247,-117.534115,5700,stgo,s,"[0, 0]","[0, 0]","[0, 0]",3,20180806,774,1367,Holy Fire,1.152952593,33.69888,-117.52055,1
Red Mountain,33.4008,-117.1905,1600,rm,n,"[-117.1905, 33.851592992948994]","[-117.57194393813225, 33.71897645296838]","[-116.80905606186775, 33.71897645296838]",6,20190915,1669,898,Horseshoe Fire ,10.28089271,33.4853,-117.043723,1
Red Mountain,33.4008,-117.1905,1600,rm,n,"[-117.1905, 33.851592992948994]","[-117.57194393813225, 33.71897645296838]","[-116.80905606186775, 33.71897645296838]",6,20180602,831,824,Jardin Fire,3.866885069,33.45014,-117.22215,1
Red Mountain,33.4008,-117.1905,1600,rm,w,"[-117.72796553745921, 33.4008]","[-117.56916843260585, 33.081443131239055]","[-117.57194393813225, 33.71897645296838]",16,20180603,1846,779,Jardin Fire,3.866885069,33.45014,-117.22215,1
Big Black Mountain,33.1599,-116.8081,4055,bm,s,"[-116.8081, 32.709056764890555]","[-116.43045773522505, 32.840536030162966]","[-117.18574226477494, 32.840536030162966]",2,20170711,1455,768,Jennings Fire,21.71619534,32.84796,-116.85396,1
Black Mountain,32.98166822,-117.1164071,1600,bl,e,"[-116.58509818227772, 32.98]","[-116.74039770279094, 33.298207358327076]","[-116.74311609844423, 32.660630738922485]",3,20170711,1868,753,Jennings Fire,17.80657474,32.84796,-116.85396,1
Black Mountain,32.98166822,-117.1164071,1600,bl,s,"[-117.12, 32.52914378468391]","[-116.74311609844423, 32.660630738922485]","[-117.49688390155578, 32.660630738922485]",4,20170711,136,669,Jennings Fire,17.80657474,32.84796,-116.85396,1
Mt. San Miguel,32.696804,-116.936363,2550,sm,n,"[-116.94, 33.150843889404484]","[-117.31839797267894, 33.01822779754]","[-116.56160202732104, 33.01822779754]",7,20170711,1342,828,Jennings Fire,11.48879995,32.84796,-116.85396,1
San Diego Supercomputer Center,32.88448394,-117.2397484,425,sdsc,e,"[-116.70569960533031, 32.88]","[-116.8608297387217, 33.19821466958003]","[-116.86353472537458, 32.56062780226753]",2,20170711,959,795,Jennings Fire,22.53072767,32.84796,-116.85396,1
Boucher Hill,33.3346,-116.9198,5500,bh,n,"[-116.9198, 33.785397823642114]","[-117.30095166269716, 33.6527813298777]","[-116.53864833730283, 33.652781329877705]",4,20171207,245,840,Lilac Fire,14.05999149,33.3237,-117.163,0
Boucher Hill,33.3346,-116.9198,5500,bh,w,"[-117.45685866220713, 33.3346]","[-117.29818521585511, 33.01524117811554]","[-117.30095166269716, 33.6527813298777]",8,20171207,955,879,Lilac Fire,14.05999149,33.3237,-117.163,1
Red Mountain,33.4008,-117.1905,1600,rm,s,"[-117.1905, 32.94997420337428]","[-116.81183156739415, 33.081443131239055]","[-117.56916843260585, 33.081443131239055]",1,20171207,334,838,Lilac Fire,5.558458007,33.3237,-117.163,1
Big Black Mountain,33.1599,-116.8081,4055,bm,n,"[-116.8081, 33.61071054911843]","[-117.18848493961107, 33.478094173241445]","[-116.42771506038892, 33.478094173241445]",3,20170722,1737,629,Lost Fire,15.44527004,33.34659,-116.66107,1
High Point,33.363018,-116.83622,6180,hp,e,"[-116.30278538329296, 33.36]","[-116.4587363085982, 33.678179459332405]","[-116.46150622782201, 33.04064192734967]",2,20170722,1245,639,Lost Fire,10.17186804,33.34659,-116.66107,1
Mesa Grande,33.188869,-116.760651,4280,mg,n,"[-116.761, 33.63880850448595]","[-117.14150781766253, 33.50619211003771]","[-116.38049218233746, 33.50619211003771]",2,20170722,1438,957,Lost Fire,12.32273912,33.34659,-116.66107,1
Sky Oaks,33.3787,-116.6223,4975,sojr,s,"[-116.6223, 32.927872600889984]","[-116.24372621899155, 33.05934247907213]","[-117.00087378100844, 33.05934247907212]",1,20170722,1091,723,Lost Fire,3.150825495,33.34659,-116.66107,1
Red Mountain,33.4008,-117.1905,1600,rm,w,"[-117.72796553745921, 33.4008]","[-117.56916843260585, 33.081443131239055]","[-117.57194393813225, 33.71897645296838]",16,20200304,1605,850,Mann Fire,43.57428145,33.96957,-117.51793,1
Toro Peak,33.5235,-116.4257,8800,tp,e,"[-115.88747679232661, 33.5235]","[-116.04371179784691, 33.841667399099975]","[-116.0465041676762, 33.20414675463602]",1,20180723,683,786,Martinez Fire,15.93899382,33.56921,-116.154398,1
High Point,33.363018,-116.83622,6180,hp,n,"[-116.84, 33.81079597072698]","[-117.22126369140182, 33.6781794593324]","[-116.4587363085982, 33.678179459332405]",9,20190716,1265,784,Meadow Fire,10.83402935,33.514658,-116.7884,1
Mesa Grande,33.188869,-116.760651,4280,mg,n,"[-116.761, 33.63880850448595]","[-117.14150781766253, 33.50619211003771]","[-116.38049218233746, 33.50619211003771]",2,20190716,1564,951,Meadow Fire,22.56677578,33.514658,-116.7884,1
Mt. Laguna Observatory,32.8397,-116.4265,6180,mlo,s,"[-116.4265, 32.38883368733383]","[-116.05020284502775, 32.52032661974371]","[-116.80279715497225, 32.52032661974371]",11,20190715,686,713,Meadow Fire,51.11589676,33.514658,-116.7884,0
Mt. Laguna Observatory,32.8397,-116.4265,6180,mlo,s,"[-116.4265, 32.38883368733383]","[-116.05020284502775, 32.52032661974371]","[-116.80279715497225, 32.52032661974371]",11,20190715,656,716,Meadow Fire,51.11589676,33.514658,-116.7884,0
